i	j	x	r	mach	theta	press	temp
180	89	2.64916	0.03986	2.768	0	15.5672	1558.1
181	89	2.7006	0.01993	2.768	0	15.5672	1558.1
182	89	2.75204	0	2.768	0	15.5672	1558.1

0	90	0.137286	1.02132	1.5537	13.1861	112.873	2449.92
1	90	0.137352	1.02129	1.5537	13.1865	112.872	2449.92
2	90	0.142711	1.01858	1.55424	13.2188	112.782	2449.47
3	90	0.148241	1.01578	1.55487	13.2499	112.677	2448.95
4	90	0.153945	1.01291	1.55558	13.2799	112.557	2448.36
5	90	0.159823	1.00995	1.5564	13.3088	112.422	2447.68
6	90	0.165877	1.00692	1.5573	13.3364	112.27	2446.93
7	90	0.172106	1.0038	1.55831	13.3629	112.103	2446.1
8	90	0.178511	1.0006	1.5594	13.3881	111.921	2445.19
9	90	0.185092	0.997324	1.5606	13.4121	111.722	2444.19
10	90	0.191851	0.993968	1.56189	13.435	111.508	2443.12
11	90	0.198786	0.990534	1.56328	13.4566	111.278	2441.97
12	90	0.205897	0.987023	1.56476	13.477	111.032	2440.74
13	90	0.213184	0.983435	1.56634	13.4963	110.772	2439.43
14	90	0.220646	0.979772	1.56801	13.5145	110.496	2438.04
15	90	0.228284	0.976035	1.56978	13.5316	110.205	2436.57
16	90	0.236095	0.972225	1.57164	13.5477	109.901	2435.03
17	90	0.244078	0.968343	1.57359	13.5627	109.582	2433.42
18	90	0.252234	0.964391	1.57562	13.5768	109.249	2431.73
19	90	0.260559	0.960369	1.57775	13.59	108.902	2429.96
20	90	0.269053	0.956281	1.57996	13.6022	108.543	2428.13
21	90	0.277715	0.952126	1.58226	13.6137	108.17	2426.22
22	90	0.286542	0.947908	1.58464	13.6243	107.786	2424.25
23	90	0.295533	0.943626	1.5871	13.6341	107.389	2422.2
24	90	0.304687	0.939284	1.58965	13.6432	106.98	2420.1
25	90	0.314001	0.934882	1.59227	13.6515	106.56	2417.92
26	90	0.323474	0.930422	1.59498	13.6592	106.128	2415.68
27	90	0.333104	0.925906	1.59776	13.6661	105.686	2413.37
28	90	0.342889	0.921336	1.60062	13.6724	105.232	2411.01
29	90	0.352828	0.916712	1.60355	13.678	104.768	2408.57
30	90	0.362918	0.912037	1.60657	13.6829	104.294	2406.08
31	90	0.373159	0.907313	1.60966	13.6871	103.809	2403.52
32	90	0.383549	0.90254	1.61282	13.6907	103.315	2400.9
33	90	0.394086	0.897719	1.61607	13.6935	102.81	2398.21
34	90	0.40477	0.892854	1.61939	13.6956	102.295	2395.46
35	90	0.415597	0.887944	1.62279	13.6969	101.77	2392.65
36	90	0.426568	0.882991	1.62627	13.6975	101.235	2389.77
37	90	0.437682	0.877997	1.62983	13.6972	100.69	2386.83
38	90	0.448937	0.872962	1.63347	13.696	100.136	2383.82
39	90	0.460332	0.867888	1.6372	13.6939	99.5709	2380.74
40	90	0.471867	0.862776	1.64101	13.6909	98.9961	2377.59
41	90	0.48354	0.857626	1.6449	13.6868	98.4113	2374.37
42	90	0.495351	0.852441	1.64888	13.6816	97.8163	2371.09
43	90	0.5073	0.84722	1.65295	13.6753	97.2111	2367.73
44	90	0.519385	0.841965	1.65712	13.6678	96.5957	2364.3
45	90	0.531607	0.836676	1.66137	13.6591	95.97	2360.79
46	90	0.543964	0.831355	1.66572	13.649	95.334	2357.2
